Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_5,46,1
caso_1.feature,exec_1,51,2
caso_1.feature,exec_3,53,3
caso_1.feature,exec_2,55,4
caso_1.feature,exec_4,55,5
caso_2.feature,exec_2,22,1
caso_2.feature,exec_5,22,2
caso_2.feature,exec_4,23,3
caso_2.feature,exec_1,26,4
caso_2.feature,exec_3,30,5
caso_3.feature,exec_2,26,1
caso_3.feature,exec_1,33,2
caso_3.feature,exec_5,35,3
caso_3.feature,exec_3,36,4
caso_3.feature,exec_4,40,5
caso_4.feature,exec_2,32,1
caso_4.feature,exec_4,36,2
caso_4.feature,exec_1,38,3
caso_4.feature,exec_3,38,4
caso_4.feature,exec_5,40,5
caso_5.feature,exec_3,31,1
caso_5.feature,exec_1,41,2
caso_5.feature,exec_2,45,3
caso_5.feature,exec_5,45,4
caso_5.feature,exec_4,48,5
caso_6.feature,exec_3,31,1
caso_6.feature,exec_4,31,2
caso_6.feature,exec_5,32,3
caso_6.feature,exec_1,39,4
caso_6.feature,exec_2,39,5
caso_7.feature,exec_1,30,1
caso_7.feature,exec_4,30,2
caso_7.feature,exec_5,30,3
caso_7.feature,exec_2,34,4
caso_7.feature,exec_3,36,5
caso_8.feature,exec_5,30,1
caso_8.feature,exec_3,35,2
caso_8.feature,exec_4,41,3
caso_8.feature,exec_2,44,4
caso_8.feature,exec_1,46,5
caso_9.feature,exec_2,38,1
caso_9.feature,exec_3,39,2
caso_9.feature,exec_1,43,3
caso_9.feature,exec_4,43,4
caso_9.feature,exec_5,43,5
caso_10.feature,exec_3,21,1
caso_10.feature,exec_4,23,2
caso_10.feature,exec_2,30,3
caso_10.feature,exec_1,37,4
caso_10.feature,exec_5,45,5
