id,name,purpose,precondition,execution_type,steps,project_id,user_story_id,priority,reused_id,active,migrate_id
2,Cancelar cadastro de Entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,2
6,Editar informações da entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,6
7,Editar entidade alterando o ID para um existente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,7
8,Editar entidade deixando os campos obrigatórios do formulário em branco,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,8
25,O campo senha deve seguir regra,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,25
28,Fazer primeiro login do usuário,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,28
30,Recuprar senha com sucesso.,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,30
38,Verificar cadastro de mais de um administrador,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,38
39,Verificar campos senha e confirmação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,39
40,Fazer login com usuário e senha válidos,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,40
1084,Login com senha inválida,Imported from sheet,Imported from sheet,M,Imported from sheet,14,233,M,60.0,True,1152
55,Executar ação sem ter feito login,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,55
57,Recuperar senha com nome de usuário inválido,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,57
58,Recuperar senha com nome de usuário não cadastrado,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,58
59,Fazer login com usuário inexistente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,59
60,Fazer login com senha inválida,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,60
61,Fazer login com campo obrigatório não preenchido,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,61
64,Cadastro de Sprint com fora do período do projeto,Imported from sheet,Imported from sheet,M,Imported from sheet,14,242,M,,True,64
65,Cadastro de Sprint com período conflitante com outra sprint,Imported from sheet,Imported from sheet,M,Imported from sheet,14,242,M,,True,65
250,Login with known credentials,Imported from sheet,Imported from sheet,M,Imported from sheet,5,56,M,40.0,True,261
279,"Editar usuário com campo ""E-mail"" vazio.",Imported from sheet,Imported from sheet,M,Imported from sheet,6,64,M,8.0,True,290
548,Verificar campo senha e confirmação,Imported from sheet,Imported from sheet,M,Imported from sheet,8,107,M,39.0,True,608
549,Editar com dados válidos,Imported from sheet,Imported from sheet,M,Imported from sheet,8,108,M,6.0,True,609
550,Editar com dados inválidos,Imported from sheet,Imported from sheet,M,Imported from sheet,8,108,M,7.0,True,610
552,Editar sem estar logado,Imported from sheet,Imported from sheet,M,Imported from sheet,8,108,M,13.0,True,612
553,Editar sem campos obrigatórios,Imported from sheet,Imported from sheet,M,Imported from sheet,8,108,M,8.0,True,613
554,Editar com username existente,Imported from sheet,Imported from sheet,M,Imported from sheet,8,108,M,7.0,True,614
567,Criação de contrato sem autenticação,Imported from sheet,Imported from sheet,M,Imported from sheet,9,113,M,13.0,True,627
572,Criação de gestor sem autenticação,Imported from sheet,Imported from sheet,M,Imported from sheet,9,114,M,13.0,True,632
575,Exclusão de conta de gestor sem autenticação,Imported from sheet,Imported from sheet,M,Imported from sheet,9,115,M,13.0,True,635
710,Cadastro de perfil com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,11,157,M,1.0,True,776
711,Cadastro de perfil com identificador existente,Imported from sheet,Imported from sheet,M,Imported from sheet,11,157,M,3.0,True,777
713,Cancelar cadastro de peril com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,11,157,M,2.0,True,779
716,Editar perfil modificando para um valor existente,Imported from sheet,Imported from sheet,M,Imported from sheet,11,158,M,7.0,True,782
